user_id,username,email,country,registration_date,age,game_id,title,genre,developer,release_date,price,platform,purchase_date,hours_played,last_played,session_id,session_date,duration_minutes,achievements_unlocked,rating_id,rating,review_text,rating_date
70689de1-bede-46a5-ae63-e4df08b8ec6f,moralescharles,hernandezlisa@example.com,South Korea,2021-07-17,51,acb61f04-ac91-4331-aa9e-f342d4291484,Focused Incremental Graphical User Interface,Sports,Dunn-Pennington,2023-07-14,4.97,Multi-platform,2025-02-14,135,2025-04-14,f67010e0-f9c3-41c4-b255-2be69a93a0ff,2025-04-14,375,2,,,,
b1307361-4be5-4466-9c06-72c6393f8525,alexander67,hamiltonmichael@example.com,USA,2022-02-13,56,8d5e7834-f1a7-47e4-bb4b-e4df5a379761,Intuitive Interactive Functionalities,Puzzle,Lee-Greene,2020-02-26,35.99,Xbox,2025-01-14,194,2025-07-17,46363363-a008-48b1-99cd-81d313c6564f,2025-07-17,53,0,fb1af836-6f31-4187-9c60-84963d8d6c32,5.0,"Story behavior benefit school. News only no form.
Government program seek test return why. Fine billion medical choice lot suggest glass news.",2025-07-17
22c88fac-26b3-4440-bf0d-b52e241d4604,dianasmith,osbornejeffery@example.net,Japan,2025-03-23,22,caf6d304-f405-4850-853d-ae8f6cd63c5c,Total Bifurcated Projection,RPG,Bright-Francis,2025-03-13,15.73,Xbox,2025-08-01,689,2025-09-04,b3988f0c-1509-466a-a8a7-03cc693802cc,2025-09-04,339,3,d3ace01e-46d3-4d15-920f-d466ecab1afc,4.0,"Thank not husband center.
Second Democrat information game.
Return since nothing be apply. Senior anyone bank kitchen. Magazine kind event sense box involve.",2025-09-04
ff6400cc-37d8-4153-a73d-a2a2393342fe,laurahenderson,cruzcaitlin@example.com,Brazil,2025-04-26,41,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2025-07-18,254,2025-08-21,dce00b9f-7cf9-4f84-837b-926a4d54023a,2025-08-21,103,0,bc57fd17-85e7-42db-a038-b1ac916972ad,3.0,"Mouth discover next property government however. Job least back.
Investment identify policy face if whom commercial. Least ready gun join black job hundred bad. Second develop single baby plan.",2025-08-21
e2b78ecb-f5ca-4718-9398-da5e32ce106e,stephanie79,jrivas@example.com,Brazil,2022-03-04,60,e508db64-1163-4be6-ab06-233a37196900,Reactive Transitional Graphic Interface,Racing,"Miller, Murphy and Craig",2022-04-19,65.01,Multi-platform,2024-12-18,945,2025-04-19,0fc7c35c-d4ee-41b5-8376-714d10d330ed,2025-04-19,43,0,31c0504c-9953-46e8-a50c-132c8a14d36b,3.0,,2025-04-19
f70cc2ca-2307-4cfc-aa8e-c925bad69ea9,stricklandfrank,daniel04@example.net,France,2024-01-05,51,44d0c288-66ca-47c6-9fa9-5a7646be8b5d,Cloned Clear-Thinking Focus Group,Strategy,"Brennan, Wallace and Benson",2025-10-11,36.93,PS4,2025-10-14,553,2025-10-24,6eb59b03-c7ba-443d-ab37-89b040a0f007,2025-10-24,433,0,,,,
82b6e48c-b1d7-4a69-bb6c-1d7f848e7aae,wendytaylor,ddavis@example.org,South Korea,2022-02-12,39,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2023-10-30,497,2024-10-28,7acf4a10-e39d-49a4-b2fe-b31f28ad3ba6,2024-10-28,251,0,,,,
7adca110-31fd-4cdf-b712-68d0cece2aec,rramos,williamleon@example.net,UK,2022-04-06,17,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2024-02-21,2,2025-06-25,0fee51ac-05ca-42bd-8141-1a4fc527ed4b,2025-06-25,204,0,,,,
ffb840c6-911c-4e62-b205-6c7767032cb7,wcole,maryramirez@example.net,South Korea,2024-12-09,47,1eb7106a-e70b-49d4-a793-45fa72a3ed6b,Profit-Focused Real-Time Internet Solution,Puzzle,Burgess-Thompson,2017-07-04,62.96,Switch,2025-04-05,569,2025-07-20,cb8b0b5b-bb79-43cc-9085-da7352b6bbe1,2025-07-20,343,1,a7dcb783-4d2c-4235-af48-ffb66547c002,5.0,Goal avoid left also. Story baby ten talk past medical. Oil west school American training occur could. Little character artist billion tonight gas research mean.,2025-07-20
cf1a97ed-07cb-4aef-afb9-3e1cc91f3f7d,calebsmith,briannasmith@example.net,Germany,2021-04-26,19,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2024-12-16,991,2025-01-10,d5bcc20a-5321-4725-b79d-271f8ac349bb,2025-01-10,34,0,,,,
777f4425-a5a1-490f-b258-9807b840f2d3,kcaldwell,stevenscott@example.com,Mexico,2022-03-31,37,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2023-08-25,514,2024-01-18,fe15057c-29e3-4e2e-a56e-f271005f09c4,2024-01-18,475,2,1c480110-246b-4887-ad2a-b47428179622,2.0,Exist rich prevent trade their four. Professional true financial prevent product can remember be. Heavy social spend prove stock school rate.,2024-01-18
a3a6b26d-0e5f-4cdc-8db2-74c717359bb4,carlosjohnson,chad34@example.net,Mexico,2024-12-12,37,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2025-07-09,609,2025-10-19,0e6f83da-730c-401f-90d6-a34ddfaf020a,2025-10-19,39,1,13e32372-b3af-40b2-a9f9-bf30d2f1fd78,2.0,,2025-10-19
c5a3d1d9-ede1-49e2-ae59-9c9adbc65bbc,leonardjoe,davidashley@example.net,Australia,2021-02-26,25,23795c85-6907-4e06-9ad4-34dd34b7600d,Up-Sized Didactic Internet Solution,FPS,"Newton, Moore and Perry",2023-07-02,38.77,PS4,2023-08-29,911,2025-02-02,6d06d1a1-e7ea-4ad7-9cda-00670ca911d2,2025-02-02,296,0,,,,
49911693-68fa-46ce-8bb5-a057b2c50332,anthony52,zlewis@example.com,UK,2023-09-18,62,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2025-07-29,535,2025-10-11,df8e7340-b7c2-4dae-8c2b-7df80c28ef53,2025-10-11,166,2,34794e27-8926-4f3a-bc91-2ac8540b9f5d,4.0,Others child Congress realize. Speak close join improve put down know expect. Doctor dream whole six tough create question. Worker left example high month whom stage.,2025-10-11
6762d03a-6eca-40a6-b059-4e34666f4bff,ntucker,kbarrera@example.com,Mexico,2020-11-01,37,caf6d304-f405-4850-853d-ae8f6cd63c5c,Total Bifurcated Projection,RPG,Bright-Francis,2025-03-13,15.73,Xbox,2025-08-05,405,2025-08-27,70e167ac-8bed-4fab-90c7-62a62c1f7035,2025-08-27,72,1,,,,
f91d0c8f-a9f0-4e8d-a37d-2ee69ba0ff88,rodriguezsierra,amydavenport@example.net,Germany,2025-07-08,35,acb61f04-ac91-4331-aa9e-f342d4291484,Focused Incremental Graphical User Interface,Sports,Dunn-Pennington,2023-07-14,4.97,Multi-platform,2025-09-20,769,2025-09-23,7854c76c-0c07-4096-8b64-6de7da1922d8,2025-09-23,42,0,,,,
deeafbfb-bdd3-4bab-aa84-7b1e7bdfd8a5,phillipsrichard,kevinperkins@example.com,Canada,2025-07-11,42,8d5e7834-f1a7-47e4-bb4b-e4df5a379761,Intuitive Interactive Functionalities,Puzzle,Lee-Greene,2020-02-26,35.99,Xbox,2025-09-21,271,2025-10-01,5e14d3b0-c17e-406c-b2af-0388b7282251,2025-10-01,72,2,ee5eeb5e-612e-4153-89b1-6f98470dfcea,2.0,,2025-10-01
e18385d4-62ee-48d9-95b2-6e5cdb4c84ff,veronica83,megan03@example.org,Brazil,2023-07-03,45,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2023-08-28,161,2025-01-04,797e7747-8ad8-48e7-86fc-70e23d218d05,2025-01-04,229,1,,,,
9939bebd-caef-4929-9ef1-9b12584cf67d,kristin93,owilson@example.net,Australia,2022-01-31,33,1eb7106a-e70b-49d4-a793-45fa72a3ed6b,Profit-Focused Real-Time Internet Solution,Puzzle,Burgess-Thompson,2017-07-04,62.96,Switch,2022-07-03,8,2025-07-17,96af59a1-dd87-420b-b510-fed2500c16d8,2025-07-17,346,1,031e0ae0-9543-47db-ba00-7440e1108d1c,5.0,Case expert stop receive. Serve light past town. Eight strong nature.,2025-07-17
f91d0c8f-a9f0-4e8d-a37d-2ee69ba0ff88,rodriguezsierra,amydavenport@example.net,Germany,2025-07-08,35,44d0c288-66ca-47c6-9fa9-5a7646be8b5d,Cloned Clear-Thinking Focus Group,Strategy,"Brennan, Wallace and Benson",2025-10-11,36.93,PS4,2025-10-23,109,2025-10-26,452bc39a-4ff7-41d1-ab9a-3e0c8745f052,2025-10-26,385,0,936e8506-5276-4896-ac82-e932dfdf6616,2.0,,2025-10-26
43185dc9-c73d-4c2e-9ecd-b58ee13592d4,eric84,contrerasangela@example.net,Brazil,2021-09-12,19,1eb7106a-e70b-49d4-a793-45fa72a3ed6b,Profit-Focused Real-Time Internet Solution,Puzzle,Burgess-Thompson,2017-07-04,62.96,Switch,2021-10-13,649,2023-06-11,b2ebeadd-5e6f-49bf-89f5-f44c43962b4f,2023-06-11,441,0,05e06c20-c168-4918-bc75-2ac7aef809a6,5.0,,2023-06-11
3cbcad5c-c525-456a-a9a2-12aa85991301,wwoods,karen68@example.net,Germany,2025-06-18,27,1eb7106a-e70b-49d4-a793-45fa72a3ed6b,Profit-Focused Real-Time Internet Solution,Puzzle,Burgess-Thompson,2017-07-04,62.96,Switch,2025-09-17,433,2025-09-19,1c994526-9d85-4cdc-be6c-4eddad29bb72,2025-09-19,429,0,156c140e-39c5-4777-be83-24f9b9a26afc,5.0,,2025-09-19
0f9ce85e-ebaa-4282-81d6-de6548aecfe0,johnsonjoshua,donaldgarcia@example.net,Mexico,2025-06-16,14,caf6d304-f405-4850-853d-ae8f6cd63c5c,Total Bifurcated Projection,RPG,Bright-Francis,2025-03-13,15.73,Xbox,2025-10-17,759,2025-10-21,0d327c1f-3078-4deb-b8dd-8a10254a2da7,2025-10-21,231,0,d0378663-3875-46c7-a3c2-1e15a5886cc7,4.0,,2025-10-21
18d9a129-958d-4bb1-8900-ac59be6b76b1,kmercado,jennifercruz@example.com,Japan,2022-11-23,38,002d804a-9e89-4ec9-bc95-3bd8a4949485,Open-Architected Intangible Superstructure,FPS,Brennan-Johnson,2017-06-08,4.72,PC,2024-06-24,77,2025-01-07,890b68a3-3f24-4188-ba8f-4424b73b09a4,2025-01-07,457,1,,,,
cf1a97ed-07cb-4aef-afb9-3e1cc91f3f7d,calebsmith,briannasmith@example.net,Germany,2021-04-26,19,002d804a-9e89-4ec9-bc95-3bd8a4949485,Open-Architected Intangible Superstructure,FPS,Brennan-Johnson,2017-06-08,4.72,PC,2021-06-15,378,2024-06-28,5669dd9a-83bd-4ed7-b9f3-4e05bc3b847c,2024-06-28,303,0,,,,
22c88fac-26b3-4440-bf0d-b52e241d4604,dianasmith,osbornejeffery@example.net,Japan,2025-03-23,22,e508db64-1163-4be6-ab06-233a37196900,Reactive Transitional Graphic Interface,Racing,"Miller, Murphy and Craig",2022-04-19,65.01,Multi-platform,2025-04-18,373,2025-06-23,3734268f-989e-4a7c-a4ba-07672b3da54c,2025-06-23,465,2,,,,
45e0c750-18ea-4524-9ed1-70d8560b0446,arnoldmaria,barbara10@example.net,Australia,2022-10-04,40,caf6d304-f405-4850-853d-ae8f6cd63c5c,Total Bifurcated Projection,RPG,Bright-Francis,2025-03-13,15.73,Xbox,2025-06-14,255,2025-10-19,c807de3f-fac5-4fe1-95c8-f5649e86c84a,2025-10-19,346,0,,,,
17d23061-99c5-43ce-beb8-fbf7215c3618,mgutierrez,cindy77@example.org,South Korea,2022-07-20,62,002d804a-9e89-4ec9-bc95-3bd8a4949485,Open-Architected Intangible Superstructure,FPS,Brennan-Johnson,2017-06-08,4.72,PC,2025-03-21,158,2025-04-30,0300aeb5-e9a6-4a3e-9e4b-57a6b2ed0909,2025-04-30,478,2,3826393e-2861-47c8-be2c-c4ccf56c3274,4.0,Card good full poor store range. Place specific as simply leader fall analysis. Though firm financial huge spring. Education send course ground sit tend forward.,2025-04-30
a3a6b26d-0e5f-4cdc-8db2-74c717359bb4,carlosjohnson,chad34@example.net,Mexico,2024-12-12,37,e508db64-1163-4be6-ab06-233a37196900,Reactive Transitional Graphic Interface,Racing,"Miller, Murphy and Craig",2022-04-19,65.01,Multi-platform,2025-02-20,340,2025-09-19,ed6cf4f0-a768-4ab6-9353-272d3b56f475,2025-09-19,405,2,39140511-a519-4e4f-aefe-f628d3a61172,1.0,"Bill foreign fast knowledge response coach. Goal amount thank good your ever.
Provide image message seek. Well central parent sit.
Attack sing hand him.",2025-09-19
70689de1-bede-46a5-ae63-e4df08b8ec6f,moralescharles,hernandezlisa@example.com,South Korea,2021-07-17,51,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2024-01-14,806,2024-08-04,2c16cc55-c488-45d4-87e4-b74baf2be641,2024-08-04,364,0,,,,
64da6740-d320-490c-b5cf-341a62e1a68c,wdavis,lindsay78@example.org,South Korea,2024-01-15,18,acb61f04-ac91-4331-aa9e-f342d4291484,Focused Incremental Graphical User Interface,Sports,Dunn-Pennington,2023-07-14,4.97,Multi-platform,2025-09-07,836,2025-10-02,3a49e2a1-fb80-4526-8b06-70704cc2a6b3,2025-10-02,475,0,,,,
3cd3c2a9-511f-464d-a8e7-de55c01826fd,russellwilliams,rachel05@example.org,Brazil,2022-12-10,55,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2025-06-08,675,2025-07-19,3a6b27ca-1a96-438f-972c-81366d1b6baf,2025-07-19,103,0,,,,
b83ef0a1-b8e0-438e-83e4-4d127c5d4fd1,josephpreston,josephjacobs@example.net,France,2023-09-26,30,44d0c288-66ca-47c6-9fa9-5a7646be8b5d,Cloned Clear-Thinking Focus Group,Strategy,"Brennan, Wallace and Benson",2025-10-11,36.93,PS4,2025-10-25,409,2025-10-25,88768ce2-d007-42ac-9d57-4fc37c1fa94f,2025-10-25,352,3,277a596c-02fc-4520-8d6a-11cb200a3575,3.0,"But table later together knowledge. Specific whose worry property. Nearly face feel church.
Meeting building cut catch so ago. Occur level work candidate this assume huge.",2025-10-25
89d721a1-339e-434d-96ca-3969a0256798,websterstefanie,maryhowell@example.org,France,2021-11-22,51,caf6d304-f405-4850-853d-ae8f6cd63c5c,Total Bifurcated Projection,RPG,Bright-Francis,2025-03-13,15.73,Xbox,2025-06-08,182,2025-08-14,77d5a91e-20e1-4e43-ab07-535cbf97e852,2025-08-14,302,3,f2a4292f-6095-4499-b566-ea4f52f6eab8,2.0,Suffer economy play nearly by. Pass behavior political option oil. Probably result painting successful.,2025-08-14
1d08a75d-d156-4e44-80f6-0d79da6707d4,jonesjason,david51@example.org,UK,2023-12-18,18,027fe39f-3363-4f6e-ab44-ac8bc6899233,Compatible Attitude-Oriented Graphic Interface,Strategy,Gibson-Morris,2018-05-05,46.18,PS4,2024-02-02,444,2024-06-03,9f72573d-54fe-40c2-94ff-068c88f24b96,2024-06-03,181,1,,,,
eddfdab9-2f55-4fbb-8eff-7efcca6c215a,gomezanita,vdickson@example.org,UK,2022-10-31,57,23795c85-6907-4e06-9ad4-34dd34b7600d,Up-Sized Didactic Internet Solution,FPS,"Newton, Moore and Perry",2023-07-02,38.77,PS4,2025-05-14,590,2025-08-02,a3ac8c28-3550-4ab0-948e-130285c725f9,2025-08-02,102,0,b4f89ea0-5d54-4eff-b46e-e0b717a33a6f,4.0,Daughter parent fine responsibility safe team wish. Set middle blood drop. Environment easy best face.,2025-08-02
9939bebd-caef-4929-9ef1-9b12584cf67d,kristin93,owilson@example.net,Australia,2022-01-31,33,23795c85-6907-4e06-9ad4-34dd34b7600d,Up-Sized Didactic Internet Solution,FPS,"Newton, Moore and Perry",2023-07-02,38.77,PS4,2025-05-01,947,2025-05-27,a7b76b9c-ccff-4240-bdd1-de88670f9b5f,2025-05-27,417,0,,,,
1eafb76d-668b-42dc-a8cd-55c3ff6bbefe,smartinez,holly48@example.net,Mexico,2025-01-07,36,1219e3bd-6e01-4da8-89e0-1bd2fdcd24a1,Right-Sized Multi-Tasking Frame,Sports,Smith and Sons,2023-07-16,21.82,Multi-platform,2025-04-19,71,2025-09-07,09d8cfda-8e1e-4331-9005-6f411b9c8d5d,2025-09-07,345,2,,,,
